title,year,rating
Scrubs,2001,8.4
Enemy at the Gates,2001,7.6
Bridget Jones's Diary,2001,6.7
Planet of the Apes,2001,5.7
Lara Croft: Tomb Raider,2001,5.8
Rush Hour 2,2001,6.6
Swordfish,2001,6.5
K-PAX,2001,7.4
24,2001,8.4
Legally Blonde,2001,6.3
A Knight's Tale,2001,6.9
Jay and Silent Bob Strike Back,2001,6.9
From Hell,2001,6.8
Scary Movie 2,2001,5.3
I Am Sam,2001,7.6
Spy Game,2001,7.1
Shallow Hal,2001,5.9
The Princess Diaries,2001,6.3
The Score,2001,6.8
Evolution,2001,6.1
Six Feet Under,2001,8.7
Smallville,2001,7.5
Ghost World,2001,7.4
Y tu mamÃ¡ tambiÃ©n,2001,7.7
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
A Beautiful Mind,2001,8.2
"Monsters, Inc.",2001,8.1
Donnie Darko,2001,8.1
AmÃ©lie,2001,8.3
Harry Potter and the Sorcerer's Stone,2001,7.6
Shrek,2001,7.9
Sen to Chihiro no kamikakushi,2001,8.6
Ocean's Eleven,2001,7.8
Training Day,2001,7.7
Black Hawk Down,2001,7.7
The Fast and the Furious,2001,6.8
The Others,2001,7.6
Band of Brothers,2001,9.5
Pearl Harbor,2001,6.1
Mulholland Dr.,2001,8
The Mummy Returns,2001,6.4
Artificial Intelligence: AI,2001,7.1
Jurassic Park III,2001,5.9
Moulin Rouge!,2001,7.6
The Royal Tenenbaums,2001,7.6
Hannibal,2001,6.8
Vanilla Sky,2001,6.9
Zoolander,2001,6.6
American Pie 2,2001,6.4
Blow,2001,7.6
Scrubs,2001,8.4
Enemy at the Gates,2001,7.6
Bridget Jones's Diary,2001,6.7
Planet of the Apes,2001,5.7
Lara Croft: Tomb Raider,2001,5.8
Rush Hour 2,2001,6.6
Swordfish,2001,6.5
K-PAX,2001,7.4
24,2001,8.4
Legally Blonde,2001,6.3
A Knight's Tale,2001,6.9
Jay and Silent Bob Strike Back,2001,6.9
From Hell,2001,6.8
Scary Movie 2,2001,5.3
I Am Sam,2001,7.6
Spy Game,2001,7.1
Shallow Hal,2001,5.9
The Princess Diaries,2001,6.3
The Score,2001,6.8
Evolution,2001,6.1
Six Feet Under,2001,8.7
Smallville,2001,7.5
Ghost World,2001,7.4
Y tu mamÃ¡ tambiÃ©n,2001,7.7
The Lord of the Rings: The Two Towers,2002,8.7
Catch Me If You Can,2002,8.1
Cidade de Deus,2002,8.6
Spider-Man,2002,7.3
The Pianist,2002,8.5
Star Wars: Episode II - Attack of the Clones,2002,6.6
Harry Potter and the Chamber of Secrets,2002,7.4
The Bourne Identity,2002,7.9
Minority Report,2002,7.7
Ice Age,2002,7.5
Gangs of New York,2002,7.5
28 Days Later...,2002,7.6
Signs,2002,6.7
Men in Black II,2002,6.1
The Ring,2002,7.1
Equilibrium,2002,7.5
The Transporter,2002,6.8
Insomnia,2002,7.2
The Wire,2002,9.3
Panic Room,2002,6.8
Phone Booth,2002,7.1
Red Dragon,2002,7.2
Resident Evil,2002,6.7
Road to Perdition,2002,7.7
8 Mile,2002,7.1
Firefly,2002,9
Chicago,2002,7.2
Die Another Day,2002,6.1
A Walk to Remember,2002,7.4
Blade II,2002,6.7
Austin Powers in Goldmember,2002,6.2
xXx,2002,5.9
Ying xiong,2002,7.9
Adaptation.,2002,7.7
25th Hour,2002,7.7
About a Boy,2002,7.1
Lilo & Stitch,2002,7.2
Bowling for Columbine,2002,8
Punch-Drunk Love,2002,7.3
Mr. Deeds,2002,5.8
The Scorpion King,2002,5.5
We Were Soldiers,2002,7.2
The Count of Monte Cristo,2002,7.8
Reign of Fire,2002,6.2
About Schmidt,2002,7.2
The Hours,2002,7.6
John Q,2002,7.1
My Big Fat Greek Wedding,2002,6.6
The Time Machine,2002,5.9
Mou gaan dou,2002,8.1
The Lord of the Rings: The Two Towers,2002,8.7
Catch Me If You Can,2002,8.1
Cidade de Deus,2002,8.6
Spider-Man,2002,7.3
The Pianist,2002,8.5
Star Wars: Episode II - Attack of the Clones,2002,6.6
Harry Potter and the Chamber of Secrets,2002,7.4
The Bourne Identity,2002,7.9
Minority Report,2002,7.7
Ice Age,2002,7.5
Gangs of New York,2002,7.5
28 Days Later...,2002,7.6
Signs,2002,6.7
Men in Black II,2002,6.1
The Ring,2002,7.1
Equilibrium,2002,7.5
The Transporter,2002,6.8
Insomnia,2002,7.2
The Wire,2002,9.3
Panic Room,2002,6.8
Phone Booth,2002,7.1
Red Dragon,2002,7.2
Resident Evil,2002,6.7
Road to Perdition,2002,7.7
8 Mile,2002,7.1
Firefly,2002,9
Chicago,2002,7.2
Die Another Day,2002,6.1
A Walk to Remember,2002,7.4
Blade II,2002,6.7
Austin Powers in Goldmember,2002,6.2
xXx,2002,5.9
Ying xiong,2002,7.9
Adaptation.,2002,7.7
25th Hour,2002,7.7
About a Boy,2002,7.1
Lilo & Stitch,2002,7.2
Bowling for Columbine,2002,8
Punch-Drunk Love,2002,7.3
Mr. Deeds,2002,5.8
The Scorpion King,2002,5.5
We Were Soldiers,2002,7.2
The Count of Monte Cristo,2002,7.8
Reign of Fire,2002,6.2
About Schmidt,2002,7.2
The Hours,2002,7.6
John Q,2002,7.1
My Big Fat Greek Wedding,2002,6.6
The Time Machine,2002,5.9
Mou gaan dou,2002,8.1
The Lord of the Rings: The Return of the King,2003,8.9
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8
Kill Bill: Vol. 1,2003,8.1
Finding Nemo,2003,8.1
X2,2003,7.5
The Matrix Reloaded,2003,7.2
Oldeuboi,2003,8.4
The Matrix Revolutions,2003,6.7
Big Fish,2003,8
Mystic River,2003,8
Love Actually,2003,7.6
Lost in Translation,2003,7.8
The Last Samurai,2003,7.7
Terminator 3: Rise of the Machines,2003,6.3
Bruce Almighty,2003,6.7
The Italian Job,2003,7
Arrested Development,2003,8.9
The School of Rock,2003,7.1
Underworld,2003,7
Hulk,2003,5.7
2 Fast 2 Furious,2003,5.9
Two and a Half Men,2003,7.1
21 Grams,2003,7.7
Identity,2003,7.3
Bad Boys II,2003,6.6
Old School,2003,7.1
Daredevil,2003,5.3
Anger Management,2003,6.2
Elf,2003,6.9
How to Lose a Guy in 10 Days,2003,6.4
Master and Commander: The Far Side of the World,2003,7.4
Avatar: The Last Airbender,2003,9.2
American Wedding,2003,6.3
The League of Extraordinary Gentlemen,2003,5.8
Once Upon a Time in Mexico,2003,6.4
Final Destination 2,2003,6.2
Johnny English,2003,6.2
Cold Mountain,2003,7.2
S.W.A.T.,2003,6
Good Bye Lenin!,2003,7.7
Bad Santa,2003,7.1
Scary Movie 3,2003,5.5
Dogville,2003,8
The Recruit,2003,6.6
Monster,2003,7.3
The Texas Chainsaw Massacre,2003,6.2
Lara Croft Tomb Raider: The Cradle of Life,2003,5.5
Matchstick Men,2003,7.3
Freaky Friday,2003,6.2
Charlie's Angels: Full Throttle,2003,4.9
The Lord of the Rings: The Return of the King,2003,8.9
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8
Kill Bill: Vol. 1,2003,8.1
Finding Nemo,2003,8.1
X2,2003,7.5
The Matrix Reloaded,2003,7.2
Oldeuboi,2003,8.4
The Matrix Revolutions,2003,6.7
Big Fish,2003,8
Mystic River,2003,8
Love Actually,2003,7.6
Lost in Translation,2003,7.8
The Last Samurai,2003,7.7
Terminator 3: Rise of the Machines,2003,6.3
Bruce Almighty,2003,6.7
The Italian Job,2003,7
Arrested Development,2003,8.9
The School of Rock,2003,7.1
Underworld,2003,7
Hulk,2003,5.7
2 Fast 2 Furious,2003,5.9
Two and a Half Men,2003,7.1
21 Grams,2003,7.7
Identity,2003,7.3
Bad Boys II,2003,6.6
Old School,2003,7.1
Daredevil,2003,5.3
Anger Management,2003,6.2
Elf,2003,6.9
How to Lose a Guy in 10 Days,2003,6.4
Master and Commander: The Far Side of the World,2003,7.4
Avatar: The Last Airbender,2003,9.2
American Wedding,2003,6.3
The League of Extraordinary Gentlemen,2003,5.8
Once Upon a Time in Mexico,2003,6.4
Final Destination 2,2003,6.2
Johnny English,2003,6.2
Cold Mountain,2003,7.2
S.W.A.T.,2003,6
Good Bye Lenin!,2003,7.7
Bad Santa,2003,7.1
Scary Movie 3,2003,5.5
Dogville,2003,8
The Recruit,2003,6.6
Monster,2003,7.3
The Texas Chainsaw Massacre,2003,6.2
Lara Croft Tomb Raider: The Cradle of Life,2003,5.5
Matchstick Men,2003,7.3
Freaky Friday,2003,6.2
Charlie's Angels: Full Throttle,2003,4.9
Eternal Sunshine of the Spotless Mind,2004,8.3
Kill Bill: Vol. 2,2004,8
The Incredibles,2004,8
Million Dollar Baby,2004,8.1
Spider-Man 2,2004,7.3
Harry Potter and the Prisoner of Azkaban,2004,7.9
The Notebook,2004,7.9
Shaun of the Dead,2004,7.9
"I, Robot",2004,7.1
Lost,2004,8.4
Troy,2004,7.2
The Butterfly Effect,2004,7.7
The Bourne Supremacy,2004,7.8
Crash,2004,7.8
The Day After Tomorrow,2004,6.4
Shrek 2,2004,7.2
House M.D.,2004,8.7
The Terminal,2004,7.3
Saw,2004,7.6
Collateral,2004,7.5
Ocean's Twelve,2004,6.5
The Machinist,2004,7.7
Hotel Rwanda,2004,8.1
Anchorman: The Legend of Ron Burgundy,2004,7.2
Man on Fire,2004,7.7
The Aviator,2004,7.5
50 First Dates,2004,6.8
Der Untergang,2004,8.2
Mean Girls,2004,7
National Treasure,2004,6.9
Hellboy,2004,6.9
Hauru no ugoku shiro,2004,8.2
Meet the Fockers,2004,6.3
Van Helsing,2004,6.1
The Village,2004,6.5
Dawn of the Dead,2004,7.3
Dodgeball: A True Underdog Story,2004,6.7
Before Sunset,2004,8.1
The Chronicles of Riddick,2004,6.7
Garden State,2004,7.5
The Passion of the Christ,2004,7.2
Finding Neverland,2004,7.7
The Girl Next Door,2004,6.7
Closer,2004,7.3
A Series of Unfortunate Events,2004,6.8
Napoleon Dynamite,2004,6.9
EuroTrip,2004,6.6
Resident Evil: Apocalypse,2004,6.2
AVP: Alien vs. Predator,2004,5.6
Harold & Kumar Go to White Castle,2004,7.1
Eternal Sunshine of the Spotless Mind,2004,8.3
Kill Bill: Vol. 2,2004,8
The Incredibles,2004,8
Million Dollar Baby,2004,8.1
Spider-Man 2,2004,7.3
Harry Potter and the Prisoner of Azkaban,2004,7.9
The Notebook,2004,7.9
Shaun of the Dead,2004,7.9
"I, Robot",2004,7.1
Lost,2004,8.4
Troy,2004,7.2
The Butterfly Effect,2004,7.7
The Bourne Supremacy,2004,7.8
Crash,2004,7.8
The Day After Tomorrow,2004,6.4
Shrek 2,2004,7.2
House M.D.,2004,8.7
The Terminal,2004,7.3
Saw,2004,7.6
Collateral,2004,7.5
Ocean's Twelve,2004,6.5
The Machinist,2004,7.7
Hotel Rwanda,2004,8.1
Anchorman: The Legend of Ron Burgundy,2004,7.2
Man on Fire,2004,7.7
The Aviator,2004,7.5
50 First Dates,2004,6.8
Der Untergang,2004,8.2
Mean Girls,2004,7
National Treasure,2004,6.9
Hellboy,2004,6.9
Hauru no ugoku shiro,2004,8.2
Meet the Fockers,2004,6.3
Van Helsing,2004,6.1
The Village,2004,6.5
Dawn of the Dead,2004,7.3
Dodgeball: A True Underdog Story,2004,6.7
Before Sunset,2004,8.1
The Chronicles of Riddick,2004,6.7
Garden State,2004,7.5
The Passion of the Christ,2004,7.2
Finding Neverland,2004,7.7
The Girl Next Door,2004,6.7
Closer,2004,7.3
A Series of Unfortunate Events,2004,6.8
Napoleon Dynamite,2004,6.9
EuroTrip,2004,6.6
Resident Evil: Apocalypse,2004,6.2
AVP: Alien vs. Predator,2004,5.6
Harold & Kumar Go to White Castle,2004,7.1
Batman Begins,2005,8.3
V for Vendetta,2005,8.2
Sin City,2005,8
Star Wars: Episode III - Revenge of the Sith,2005,7.6
How I Met Your Mother,2005,8.3
Harry Potter and the Goblet of Fire,2005,7.7
Prison Break,2005,8.4
Mr. & Mrs. Smith,2005,6.5
Charlie and the Chocolate Factory,2005,6.7
War of the Worlds,2005,6.5
King Kong,2005,7.2
The 40 Year Old Virgin,2005,7.1
Supernatural,2005,8.5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9
Madagascar,2005,6.9
Wedding Crashers,2005,7
Brokeback Mountain,2005,7.7
Fantastic Four,2005,5.7
The Island,2005,6.9
The Office,2005,8.8
Lord of War,2005,7.6
Hitch,2005,6.6
Constantine,2005,7
Serenity,2005,7.9
Kingdom of Heaven,2005,7.2
Pride & Prejudice,2005,7.8
Corpse Bride,2005,7.4
Saw II,2005,6.6
Walk the Line,2005,7.9
A History of Violence,2005,7.5
Grey's Anatomy,2005,7.6
Thank You for Smoking,2005,7.6
Kiss Kiss Bang Bang,2005,7.6
Munich,2005,7.6
Match Point,2005,7.6
The Descent,2005,7.2
Doctor Who,2005,8.7
Transporter 2,2005,6.3
The Hitchhiker's Guide to the Galaxy,2005,6.8
It's Always Sunny in Philadelphia,2005,8.7
Cinderella Man,2005,8
Jarhead,2005,7
Hostel,2005,5.9
The Longest Yard,2005,6.4
Hard Candy,2005,7.1
Flightplan,2005,6.3
Rome,2005,8.8
Criminal Minds,2005,8.1
Hooligans,2005,7.5
Memoirs of a Geisha,2005,7.4
Batman Begins,2005,8.3
V for Vendetta,2005,8.2
Sin City,2005,8
Star Wars: Episode III - Revenge of the Sith,2005,7.6
How I Met Your Mother,2005,8.3
Harry Potter and the Goblet of Fire,2005,7.7
Prison Break,2005,8.4
Mr. & Mrs. Smith,2005,6.5
Charlie and the Chocolate Factory,2005,6.7
War of the Worlds,2005,6.5
King Kong,2005,7.2
The 40 Year Old Virgin,2005,7.1
Supernatural,2005,8.5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9
Madagascar,2005,6.9
Wedding Crashers,2005,7
Brokeback Mountain,2005,7.7
Fantastic Four,2005,5.7
The Island,2005,6.9
The Office,2005,8.8
Lord of War,2005,7.6
Hitch,2005,6.6
Constantine,2005,7
Serenity,2005,7.9
Kingdom of Heaven,2005,7.2
Pride & Prejudice,2005,7.8
Corpse Bride,2005,7.4
Saw II,2005,6.6
Walk the Line,2005,7.9
A History of Violence,2005,7.5
Grey's Anatomy,2005,7.6
Thank You for Smoking,2005,7.6
Kiss Kiss Bang Bang,2005,7.6
Munich,2005,7.6
Match Point,2005,7.6
The Descent,2005,7.2
Doctor Who,2005,8.7
Transporter 2,2005,6.3
The Hitchhiker's Guide to the Galaxy,2005,6.8
It's Always Sunny in Philadelphia,2005,8.7
Cinderella Man,2005,8
Jarhead,2005,7
Hostel,2005,5.9
The Longest Yard,2005,6.4
Hard Candy,2005,7.1
Flightplan,2005,6.3
Rome,2005,8.8
Criminal Minds,2005,8.1
Hooligans,2005,7.5
Memoirs of a Geisha,2005,7.4
The Departed,2006,8.5
The Prestige,2006,8.5
300,2006,7.7
The Big Bang Theory,2007,8.2
Pirates of the Caribbean: Dead Man's Chest,2006,7.3
Dexter,2006,8.7
Pan's Labyrinth,2006,8.2
Casino Royale,2006,8
Blood Diamond,2006,8
X-Men: The Last Stand,2006,6.7
Children of Men,2006,7.9
Little Miss Sunshine,2006,7.8
The Pursuit of Happyness,2006,8
The Da Vinci Code,2006,6.6
The Illusionist,2006,7.6
The Devil Wears Prada,2006,6.9
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3
Cars,2006,7.1
The Lives of Others,2006,8.4
Inside Man,2006,7.6
Mission: Impossible III,2006,6.9
Lucky Number Slevin,2006,7.8
Night at the Museum,2006,6.4
Click,2006,6.4
Deja Vu,2006,7.1
Babel,2006,7.5
Apocalypto,2006,7.8
Superman Returns,2006,6.1
Ice Age: The Meltdown,2006,6.8
Crank,2006,7
The Holiday,2006,6.9
Heroes,2006,7.6
Perfume: The Story of a Murderer,2006,7.5
The Fast and the Furious: Tokyo Drift,2006,6
The Fountain,2006,7.3
Stranger Than Fiction,2006,7.6
Silent Hill,2006,6.6
Rocky Balboa,2006,7.2
Underworld: Evolution,2006,6.7
Death Note: Desu nÃ´to,2006,9
Saw III,2006,6.2
The Last King of Scotland,2006,7.7
Happy Feet,2006,6.5
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6
The Hills Have Eyes,2006,6.4
Over the Hedge,2006,6.7
Letters from Iwo Jima,2006,7.9
Planet Earth,2006,9.4
She's the Man,2006,6.4
Smokin' Aces,2006,6.7
The Departed,2006,8.5
The Prestige,2006,8.5
300,2006,7.7
The Big Bang Theory,2007,8.2
Pirates of the Caribbean: Dead Man's Chest,2006,7.3
Dexter,2006,8.7
Pan's Labyrinth,2006,8.2
Casino Royale,2006,8
Blood Diamond,2006,8
X-Men: The Last Stand,2006,6.7
Children of Men,2006,7.9
Little Miss Sunshine,2006,7.8
The Pursuit of Happyness,2006,8
The Da Vinci Code,2006,6.6
The Illusionist,2006,7.6
The Devil Wears Prada,2006,6.9
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3
Cars,2006,7.1
The Lives of Others,2006,8.4
Inside Man,2006,7.6
Mission: Impossible III,2006,6.9
Lucky Number Slevin,2006,7.8
Night at the Museum,2006,6.4
Click,2006,6.4
Deja Vu,2006,7.1
Babel,2006,7.5
Apocalypto,2006,7.8
Superman Returns,2006,6.1
Ice Age: The Meltdown,2006,6.8
Crank,2006,7
The Holiday,2006,6.9
Heroes,2006,7.6
Perfume: The Story of a Murderer,2006,7.5
The Fast and the Furious: Tokyo Drift,2006,6
The Fountain,2006,7.3
Stranger Than Fiction,2006,7.6
Silent Hill,2006,6.6
Rocky Balboa,2006,7.2
Underworld: Evolution,2006,6.7
Death Note: Desu nÃ´to,2006,9
Saw III,2006,6.2
The Last King of Scotland,2006,7.7
Happy Feet,2006,6.5
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6
The Hills Have Eyes,2006,6.4
Over the Hedge,2006,6.7
Letters from Iwo Jima,2006,7.9
Planet Earth,2006,9.4
She's the Man,2006,6.4
Smokin' Aces,2006,6.7
No Country for Old Men,2007,8.1
I Am Legend,2007,7.2
The Bourne Ultimatum,2007,8
Ratatouille,2007,8
Transformers,2007,7.1
Pirates of the Caribbean: At World's End,2007,7.1
Into the Wild,2007,8.1
Superbad,2007,7.6
Juno,2007,7.5
There Will Be Blood,2007,8.2
Spider-Man 3,2007,6.2
Harry Potter and the Order of the Phoenix,2007,7.5
Hot Fuzz,2007,7.9
Zodiac,2007,7.7
Live Free or Die Hard,2007,7.1
American Gangster,2007,7.8
Knocked Up,2007,7
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4
Ocean's Thirteen,2007,6.9
Shooter,2007,7.2
The Simpsons Movie,2007,7.3
3:10 to Yuma,2007,7.7
The Mist,2007,7.2
Shrek the Third,2007,6.1
Death Proof,2007,7
1408,2007,6.8
28 Weeks Later,2007,7
Stardust,2007,7.7
4: Rise of the Silver Surfer,2007,5.6
Gone Baby Gone,2007,7.7
Atonement,2007,7.8
Sunshine,2007,7.3
Eastern Promises,2007,7.7
The Bucket List,2007,7.4
Ghost Rider,2007,5.2
Paranormal Activity,2007,6.3
Disturbia,2007,6.9
National Treasure: Book of Secrets,2007,6.5
P.S. I Love You,2007,7.1
Planet Terror,2007,7.1
The Number 23,2007,6.4
Mad Men,2007,8.6
Resident Evil: Extinction,2007,6.3
Grindhouse,2007,7.6
Fracture,2007,7.2
The Golden Compass,2007,6.1
Enchanted,2007,7.1
The Darjeeling Limited,2007,7.2
Californication,2007,8.3
The Man from Earth,2007,7.9
No Country for Old Men,2007,8.1
I Am Legend,2007,7.2
The Bourne Ultimatum,2007,8
Ratatouille,2007,8
Transformers,2007,7.1
Pirates of the Caribbean: At World's End,2007,7.1
Into the Wild,2007,8.1
Superbad,2007,7.6
Juno,2007,7.5
There Will Be Blood,2007,8.2
Spider-Man 3,2007,6.2
Harry Potter and the Order of the Phoenix,2007,7.5
Hot Fuzz,2007,7.9
Zodiac,2007,7.7
Live Free or Die Hard,2007,7.1
American Gangster,2007,7.8
Knocked Up,2007,7
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4
Ocean's Thirteen,2007,6.9
Shooter,2007,7.2
The Simpsons Movie,2007,7.3
3:10 to Yuma,2007,7.7
The Mist,2007,7.2
Shrek the Third,2007,6.1
Death Proof,2007,7
1408,2007,6.8
28 Weeks Later,2007,7
Stardust,2007,7.7
4: Rise of the Silver Surfer,2007,5.6
Gone Baby Gone,2007,7.7
Atonement,2007,7.8
Sunshine,2007,7.3
Eastern Promises,2007,7.7
The Bucket List,2007,7.4
Ghost Rider,2007,5.2
Paranormal Activity,2007,6.3
Disturbia,2007,6.9
National Treasure: Book of Secrets,2007,6.5
P.S. I Love You,2007,7.1
Planet Terror,2007,7.1
The Number 23,2007,6.4
Mad Men,2007,8.6
Resident Evil: Extinction,2007,6.3
Grindhouse,2007,7.6
Fracture,2007,7.2
The Golden Compass,2007,6.1
Enchanted,2007,7.1
The Darjeeling Limited,2007,7.2
Californication,2007,8.3
The Man from Earth,2007,7.9
The Dark Knight,2008,9
Breaking Bad,2008,9.5
WALLÂ·E,2008,8.4
Iron Man,2008,7.9
Slumdog Millionaire,2008,8
Gran Torino,2008,8.1
Taken,2008,7.8
The Curious Case of Benjamin Button,2008,7.8
Hancock,2008,6.4
Twilight,2008,5.2
The Incredible Hulk,2008,6.8
The Hurt Locker,2008,7.6
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2
Quantum of Solace,2008,6.6
Kung Fu Panda,2008,7.6
In Bruges,2008,7.9
Tropic Thunder,2008,7
Cloverfield,2008,7
Wanted,2008,6.7
Yes Man,2008,6.8
Pineapple Express,2008,7
Burn After Reading,2008,7
The Wrestler,2008,7.9
Jumper,2008,6.1
Seven Pounds,2008,7.6
Forgetting Sarah Marshall,2008,7.2
Step Brothers,2008,6.9
Hellboy II: The Golden Army,2008,7
Sons of Anarchy,2008,8.6
Vicky Cristina Barcelona,2008,7.1
Changeling,2008,7.7
RocknRolla,2008,7.3
True Blood,2008,7.9
The Reader,2008,7.6
21,2008,6.8
Valkyrie,2008,7.1
Role Models,2008,6.9
Fringe,2008,8.4
Rambo,2008,7
Body of Lies,2008,7.1
Yip Man,2008,8
LÃ¥t den rÃ¤tte komma in,2008,7.9
Get Smart,2008,6.5
Mamma Mia!,2008,6.4
Death Race,2008,6.4
The Happening,2008,5
Madagascar: Escape 2 Africa,2008,6.7
The Chronicles of Narnia: Prince Caspian,2008,6.5
Revolutionary Road,2008,7.3
You Don't Mess with the Zohan,2008,5.5
The Dark Knight,2008,9
Breaking Bad,2008,9.5
WALLÂ·E,2008,8.4
Iron Man,2008,7.9
Slumdog Millionaire,2008,8
Gran Torino,2008,8.1
Taken,2008,7.8
The Curious Case of Benjamin Button,2008,7.8
Hancock,2008,6.4
Twilight,2008,5.2
The Incredible Hulk,2008,6.8
The Hurt Locker,2008,7.6
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2
Quantum of Solace,2008,6.6
Kung Fu Panda,2008,7.6
In Bruges,2008,7.9
Tropic Thunder,2008,7
Cloverfield,2008,7
Wanted,2008,6.7
Yes Man,2008,6.8
Pineapple Express,2008,7
Burn After Reading,2008,7
The Wrestler,2008,7.9
Jumper,2008,6.1
Seven Pounds,2008,7.6
Forgetting Sarah Marshall,2008,7.2
Step Brothers,2008,6.9
Hellboy II: The Golden Army,2008,7
Sons of Anarchy,2008,8.6
Vicky Cristina Barcelona,2008,7.1
Changeling,2008,7.7
RocknRolla,2008,7.3
True Blood,2008,7.9
The Reader,2008,7.6
21,2008,6.8
Valkyrie,2008,7.1
Role Models,2008,6.9
Fringe,2008,8.4
Rambo,2008,7
Body of Lies,2008,7.1
Yip Man,2008,8
LÃ¥t den rÃ¤tte komma in,2008,7.9
Get Smart,2008,6.5
Mamma Mia!,2008,6.4
Death Race,2008,6.4
The Happening,2008,5
Madagascar: Escape 2 Africa,2008,6.7
